eBird.English.Name,eBird.Scientific.Name,Resident,Strictly.Altitudinal.Migrant,Summer.Visitor,Winter.Visitor,Strictly.Passage,Uncertain.Vagrant,Breeding.Range.Mostly.Outside
Chestnut Bunting,Emberiza rutila,NA,NA,NA,1,NA,NA,NA
Chestnut Munia,Lonchura atricapilla,1,NA,NA,NA,NA,NA,NA
Chestnut Thrush,Turdus rubrocanus,1,1,NA,NA,NA,NA,NA
Chevron-breasted Babbler,Stachyris roberti,1,NA,NA,NA,NA,NA,NA
Chin Hills Wren-Babbler,Spelaeornis oatesi,1,NA,NA,NA,NA,NA,NA
Chinese Bush Warbler,Locustella tacsanowskia,NA,NA,NA,NA,NA,1,NA
Chinese Egret,Egretta eulophotes,NA,NA,NA,1,NA,NA,NA
Chinese Francolin,Francolinus pintadeanus,1,NA,NA,NA,NA,NA,NA
Chinese Leaf Warbler,Phylloscopus yunnanensis,NA,NA,NA,NA,NA,1,NA
Chinese Pond-Heron,Ardeola bacchus,1,NA,1,NA,NA,1,NA
Chinese Rubythroat,Calliope tschebaiewi,NA,NA,1,1,NA,NA,1
Chinese Sparrowhawk,Accipiter soloensis,NA,NA,NA,1,NA,NA,NA
Chinese Thrush,Otocichla mupinensis,NA,NA,NA,NA,NA,1,NA
Chinese White-browed Rosefinch,Carpodacus dubius,1,1,NA,NA,NA,NA,NA
Christmas Island Frigatebird,Fregata andrewsi,NA,NA,NA,NA,NA,1,NA
Chukar,Alectoris chukar,1,1,NA,NA,NA,NA,NA
Cinereous Tit,Parus cinereus,1,NA,NA,NA,NA,NA,NA
Cinereous Vulture,Aegypius monachus,NA,NA,NA,1,NA,NA,NA
Cinnamon Bittern,Ixobrychus cinnamomeus,1,NA,1,1,NA,NA,NA
Citrine Wagtail,Motacilla citreola,NA,NA,1,1,NA,NA,1
Clamorous Reed Warbler,Acrocephalus stentoreus,1,NA,1,1,NA,NA,1
Claudia's Leaf Warbler,Phylloscopus claudiae,NA,NA,NA,NA,NA,1,NA
Clicking Shrike-Babbler,Pteruthius intermedius,1,NA,NA,NA,NA,NA,NA
Coal Tit,Periparus ater,1,1,NA,NA,NA,NA,NA
Collared Falconet,Microhierax caerulescens,1,NA,NA,NA,NA,NA,NA
Collared Grosbeak,Mycerobas affinis,1,1,NA,NA,NA,NA,NA
Collared Kingfisher,Todiramphus chloris,1,NA,NA,NA,NA,NA,NA
Collared Myna,Acridotheres albocinctus,1,NA,NA,NA,NA,NA,NA
Collared Owlet,Glaucidium brodiei,1,1,NA,NA,NA,NA,NA
Collared Pratincole,Glareola pratincola,NA,NA,1,1,NA,NA,1
Collared Scops-Owl,Otus lettia,1,1,NA,NA,NA,NA,NA
Collared Treepie,Dendrocitta frontalis,1,NA,NA,NA,NA,NA,NA
Common Babbler,Turdoides caudata,1,NA,NA,NA,NA,NA,NA
Common Buzzard,Buteo buteo,NA,NA,NA,1,NA,NA,NA
Common Chaffinch,Fringilla coelebs,NA,NA,NA,1,NA,NA,NA
Common Chiffchaff,Phylloscopus collybita,NA,NA,NA,1,NA,NA,NA
Common Crane,Grus grus,NA,NA,NA,1,NA,NA,NA
Common Cuckoo,Cuculus canorus,NA,NA,1,1,NA,NA,NA
Common Flameback,Dinopium javanense,1,NA,NA,NA,NA,NA,NA
Common Goldeneye,Bucephala clangula,NA,NA,NA,1,NA,NA,NA
Common Grasshopper-Warbler,Locustella naevia,NA,NA,NA,1,NA,NA,NA
Common Green-Magpie,Cissa chinensis,1,NA,NA,NA,NA,NA,NA
Common Greenshank,Tringa nebularia,NA,NA,NA,1,NA,NA,NA
Common Hawk-Cuckoo,Hierococcyx varius,1,NA,NA,NA,NA,NA,NA
Common Hill Myna,Gracula religiosa,1,NA,NA,NA,NA,NA,NA
Common House-Martin,Delichon urbicum,NA,NA,1,1,NA,NA,1
Common Iora,Aegithina tiphia,1,NA,NA,NA,NA,NA,NA
Common Kingfisher,Alcedo atthis,1,NA,NA,NA,NA,NA,NA
Common Merganser,Mergus merganser,NA,NA,1,1,NA,NA,1
Common Myna,Acridotheres tristis,1,NA,NA,NA,NA,NA,NA
Common Pochard,Aythya ferina,NA,NA,NA,1,NA,NA,NA
Common Quail,Coturnix coturnix,NA,NA,NA,1,NA,NA,NA
Common Raven,Corvus corax,1,1,NA,NA,NA,NA,NA
Common Redshank,Tringa totanus,NA,NA,NA,1,NA,NA,NA
Common Redstart,Phoenicurus phoenicurus,NA,NA,NA,NA,NA,1,NA
Common Ringed Plover,Charadrius hiaticula,NA,NA,NA,1,NA,NA,NA
Common Rosefinch,Carpodacus erythrinus,NA,NA,1,1,NA,NA,1
Common Sandpiper,Actitis hypoleucos,NA,NA,NA,1,NA,NA,NA
Common Shelduck,Tadorna tadorna,NA,NA,NA,1,NA,NA,NA
Common Snipe,Gallinago gallinago,NA,NA,NA,1,NA,NA,NA
Common Swift,Apus apus,NA,NA,1,1,NA,NA,1
Common Tailorbird,Orthotomus sutorius,1,NA,NA,NA,NA,NA,NA
Common Tern,Sterna hirundo,NA,NA,1,1,NA,NA,1
Common Wood-Pigeon,Columba palumbus,1,NA,NA,1,NA,NA,1
Common Woodshrike,Tephrodornis pondicerianus,1,NA,NA,NA,NA,NA,NA
