Species,Time Bands,Frequency,SE
Pacific Golden-Plover,2017,0.008761761,0.001602461
Pacific Golden-Plover,2018,0.008190166,0.001496923
Pallid Harrier,before 2000,0.063961386,0.027854792
Pallid Harrier,2000-2006,0.058459301,0.025415493
Pallid Harrier,2007-2010,0.026985133,0.012129587
Pallid Harrier,2011-2012,0.030515077,0.013499322
Pallid Harrier,2013,0.028772597,0.012776546
Pallid Harrier,2014,0.021045827,0.009266539
Pallid Harrier,2015,0.015547307,0.006740682
Pallid Harrier,2016,0.017450289,0.007670885
Pallid Harrier,2017,0.01603024,0.007034934
Pallid Harrier,2018,0.014507794,0.006391575
Streaked Weaver,before 2000,0.027755971,0.004994536
Streaked Weaver,2000-2006,0.0200178,0.003822577
Streaked Weaver,2007-2010,0.026425498,0.004550854
Streaked Weaver,2011-2012,0.02704262,0.004806598
Streaked Weaver,2013,0.018167299,0.003065915
Streaked Weaver,2014,0.023301412,0.003584774
Streaked Weaver,2015,0.018794059,0.00279487
Streaked Weaver,2016,0.018124329,0.002635435
Streaked Weaver,2017,0.012365052,0.00184668
Streaked Weaver,2018,0.017003184,0.002478963
Watercock,before 2000,NA,NA
Watercock,2000-2006,NA,NA
Watercock,2007-2010,NA,NA
Watercock,2011-2012,NA,NA
Watercock,2013,NA,NA
Watercock,2014,0.014074131,0.003411752
Watercock,2015,0.009993066,0.002392858
Watercock,2016,0.011173439,0.002635206
Watercock,2017,0.00856018,0.002055028
Watercock,2018,0.007502049,0.001784213
White-bellied Sea-Eagle,before 2000,0.142847593,0.038048611
White-bellied Sea-Eagle,2000-2006,0.075182363,0.020398433
White-bellied Sea-Eagle,2007-2010,0.078023426,0.021268647
White-bellied Sea-Eagle,2011-2012,0.052885091,0.014449759
White-bellied Sea-Eagle,2013,0.057825563,0.015533598
White-bellied Sea-Eagle,2014,0.049576876,0.013247867
White-bellied Sea-Eagle,2015,0.047273469,0.012650644
White-bellied Sea-Eagle,2016,0.03896397,0.010447276
White-bellied Sea-Eagle,2017,0.042434415,0.011360296
White-bellied Sea-Eagle,2018,0.039157967,0.010483982
Wire-tailed Swallow,before 2000,0.111423241,0.009296686
Wire-tailed Swallow,2000-2006,0.09866156,0.008093445
Wire-tailed Swallow,2007-2010,0.098553536,0.008031471
Wire-tailed Swallow,2011-2012,0.096532193,0.008038151
Wire-tailed Swallow,2013,0.095025239,0.00768235
Wire-tailed Swallow,2014,0.104207156,0.007676934
Wire-tailed Swallow,2015,0.104801053,0.007720769
Wire-tailed Swallow,2016,0.100227107,0.007309565
Wire-tailed Swallow,2017,0.104513593,0.007654491
Wire-tailed Swallow,2018,0.104843016,0.007617394
Yellow Bittern,before 2000,0.022666802,0.00306529
Yellow Bittern,2000-2006,0.031553224,0.004246478
Yellow Bittern,2007-2010,0.027501827,0.003668245
Yellow Bittern,2011-2012,0.033194446,0.00435048
Yellow Bittern,2013,0.027347,0.003386831
Yellow Bittern,2014,0.025094238,0.002871054
Yellow Bittern,2015,0.023373941,0.002607013
Yellow Bittern,2016,0.026229419,0.0028984
Yellow Bittern,2017,0.023309705,0.002557876
Yellow Bittern,2018,0.021941512,0.002423908
Yellow-wattled Lapwing,before 2000,0.128427655,0.010022706
Yellow-wattled Lapwing,2000-2006,0.09229025,0.007719456
Yellow-wattled Lapwing,2007-2010,0.10063572,0.007860225
Yellow-wattled Lapwing,2011-2012,0.095022271,0.007596032
Yellow-wattled Lapwing,2013,0.080987095,0.006249792
Yellow-wattled Lapwing,2014,0.084524555,0.006048028
Yellow-wattled Lapwing,2015,0.073072784,0.00523093
Yellow-wattled Lapwing,2016,0.06779431,0.004840945
Yellow-wattled Lapwing,2017,0.072414925,0.00518178
Yellow-wattled Lapwing,2018,0.067496246,0.004793639
